Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",0603,12,LED,
"J1, J2",PinSocket_1x09_P2.54mm_Horizontal_EDITED,2,Conn_01x09_Socket,
"J10, J11, J12, J9",PinHeader_1x03_P2.54mm_Vertical_EDITED,4,Conn_01x03_Socket,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",0603,12,Q_Photo_NPN,
"R1, R10, R10D1, R11, R11D1, R12, R12D1, R1D1, R2, R2D1, R3, R3D1, R4, R4D1, R5, R5D1, R6, R6D1, R7, R7D1, R8, R8D1, R9, R9D1",0603,24,R,
