Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,C,
"J3, J4, J5, J6",PinHeader_1x09_P2.54mm_Horizontal_EDITED,4,Conn_01x09_Socket,
J7,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
J8,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,1,Conn_01x04_Socket,
Q13,TO-251-3-1EP_Horizontal_TabDown,1,NMOS,
"R13, R14",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,R,
"U1, U2, U3, U4",CERDIP-16_W7.62mm_SideBrazed_LongPads_pin_EDITED,4,4051,
U5,名称未設定,1,~,
